iter	Passed	Remaining
561	4177	3255
562	4185	3249
563	4193	3242
564	4205	3237
565	4212	3229
566	4220	3223
567	4229	3216
568	4237	3209
569	4246	3203
570	4252	3195
571	4260	3188
572	4268	3180
573	4276	3173
574	4284	3166
575	4291	3159
576	4299	3152
577	4307	3145
578	4315	3137
579	4323	3130
580	4331	3123
581	4339	3116
582	4347	3109
583	4354	3102
584	4363	3095
585	4370	3087
586	4377	3079
587	4387	3074
588	4404	3073
589	4413	3067
590	4424	3061
591	4433	3055
592	4448	3053
593	4459	3047
594	4473	3045
595	4488	3042
596	4501	3038
597	4511	3032
598	4522	3027
599	4532	3021
600	4542	3015
601	4550	3008
602	4560	3002
603	4570	2996
604	4579	2989
605	4591	2985
606	4600	2978
607	4609	2971
608	4617	2964
609	4625	2957
610	4632	2949
611	4638	2941
612	4645	2932
613	4652	2924
614	4659	2916
615	4666	2909
616	4674	2901
617	4682	2894
618	4691	2887
619	4699	2880
620	4708	2873
621	4716	2866
622	4722	2857
623	4730	2850
624	4738	2843
625	4746	2835
626	4753	2827
627	4759	2819
628	4769	2813
629	4777	2806
630	4786	2798
631	4793	2791
632	4803	2784
633	4811	2777
634	4821	2771
635	4827	2763
636	4835	2755
637	4842	2747
638	4849	2739
639	4857	2732
640	4863	2723
641	4869	2715
642	4877	2708
643	4884	2700
644	4891	2692
645	4899	2684
646	4906	2676
647	4914	2669
648	4920	2661
649	4927	2653
650	4934	2645
651	4941	2637
652	4948	2629
653	4955	2621
654	4962	2613
655	4968	2605
656	4975	2597
657	4982	2589
658	4989	2581
659	4995	2573
660	5002	2565
661	5010	2557
662	5017	2550
663	5024	2542
664	5030	2534
665	5037	2526
666	5043	2517
667	5048	2509
668	5054	2500
669	5060	2492
670	5066	2484
671	5073	2476
672	5079	2468
673	5086	2460
674	5092	2451
675	5098	2443
676	5105	2435
677	5111	2427
678	5117	2419
679	5125	2411
680	5132	2404
681	5139	2396
682	5146	2388
683	5153	2380
684	5160	2372
685	5167	2365
686	5173	2357
687	5191	2354
688	5198	2346
689	5206	2338
690	5213	2331
691	5220	2323
692	5227	2315
693	5235	2308
694	5242	2300
695	5250	2293
696	5257	2285
697	5264	2277
698	5272	2270
699	5280	2263
700	5286	2254
701	5292	2246
702	5299	2239
703	5306	2230
704	5312	2222
705	5319	2214
706	5324	2206
707	5331	2198
708	5336	2190
709	5342	2182
710	5349	2174
711	5355	2166
712	5361	2158
713	5367	2150
714	5373	2141
715	5380	2134
716	5386	2126
717	5392	2117
718	5399	2110
